Date,Time,ecg1,ecg2,ecg3,ecg4,ecg5
2021-04-07,16:21:15.513000,5.0828e-06,4.7542e-05,-4.0601e-05,0.00035939,-0.00010725
2021-04-07,16:21:15.515000,0.00012216,0.00025775,-9.0542e-05,0.00041104,-2.8746e-05
2021-04-07,16:21:15.517000,0.00021374,0.00046541,-0.0001976,0.00029645,8.6537e-05
2021-04-07,16:21:15.519000,0.00026201,0.00066307,-0.00023078,0.00023315,0.0001916
2021-04-07,16:21:15.521000,0.00035304,0.00088913,-0.00026223,8.0096e-06,0.00034203
2021-04-07,16:21:15.523000,0.00045973,0.0010986,-0.00024515,-0.00020506,0.00045691
2021-04-07,16:21:15.525000,0.00054721,0.0012445,-0.00022609,-0.00038787,0.00052883
2021-04-07,16:21:15.527000,0.00070155,0.0013659,-0.00024264,-0.00063195,0.00057781
2021-04-07,16:21:15.529000,0.00090782,0.0014414000000000002,-0.00023018,-0.00083357,0.00057902
2021-04-07,16:21:15.531000,0.0011181,0.001437,-0.00020741,-0.00097493,0.00053948
2021-04-07,16:21:15.533000,0.0012459,0.0013194,-0.00018964,-0.001109,0.00047485
2021-04-07,16:21:15.535000,0.0012735,0.0012115000000000001,-0.00019421,-0.0012407,0.00043158
2021-04-07,16:21:15.537000,0.0012692,0.0010865,-0.00019738,-0.0012624000000000001,0.000412
2021-04-07,16:21:15.539000,0.0010929,0.00074723,-0.00016077,-0.0011795,0.00038789
2021-04-07,16:21:15.541000,0.00071883,0.00041001,-0.00022228,-0.0010054,0.00039277
2021-04-07,16:21:15.543000,0.00029049999999999996,0.00018326,-0.00039456,-0.00073304,0.00043438
2021-04-07,16:21:15.545000,-9.8543e-05,-3.2184e-05,-0.00046129,-0.00052891,0.00045163
2021-04-07,16:21:15.547000,-0.00027187,-0.00013825,-0.00041576,-0.00041453,0.00039436
2021-04-07,16:21:15.549000,-0.0002333,-0.00016644,-0.00036260000000000003,-0.00033475,0.00028661
2021-04-07,16:21:15.551000,-0.00012136,-0.00014199,-0.00028938,-0.00030389999999999996,0.00018669
2021-04-07,16:21:15.553000,1.8919e-05,-6.8213e-05,-0.0002236,-0.00027133,0.00010902
2021-04-07,16:21:15.555000,9.7691e-05,-5.9248e-05,-0.00018140000000000002,-0.00023196,4.0649e-05
2021-04-07,16:21:15.557000,9.9331e-05,-6.7565e-05,-0.00012481,-0.00018936,-6.2789999999999995e-06
