ecg1,ecg2,ecg3,ecg4,ecg5,tstamp
-0.021207,3.23E-05,0.0027506,0.0051875,0.0069174,23:05.4
-0.020197,0.00018904,0.0025194,0.0049529,0.006699,23:05.4
-0.0192,0.00023479,0.0022306,0.0046209,0.0064112,23:05.4
-0.018394,0.00024972,0.0019267,0.004285,0.0061067,23:05.4
-0.017655,0.00029735,0.0016843,0.0039873,0.0058708,23:05.4
-0.016916,0.00032362,0.0014458,0.0037422,0.0056671,23:05.4
-0.016373,0.00038644,0.0012487,0.003597,0.0055317,23:05.4
-0.015998,0.00048407,0.0011258,0.0034793,0.0054724,23:05.4
-0.015659,0.0005456,0.0010418,0.0033703,0.0054188,23:05.4
-0.015291,0.00058111,0.00096868,0.0032516,0.0053338,23:05.4
-0.01495,0.00058343,0.00088186,0.0030694,0.0051915,23:05.4
-0.014442,0.00061988,0.0007764,0.0028585,0.0050151,23:05.4
-0.013599,0.00076575,0.0007221,0.0026285,0.0048592,23:05.4
-0.012781,0.00094081,0.00067594,0.0023941,0.0047066,23:05.4
-0.012125,0.0010539,0.00056062,0.0022181,0.0045677,23:05.4
-0.011816,0.00090718,0.00038901,0.0019996,0.0043971,23:05.4
-0.011955,0.00052461,0.00014642,0.0017345,0.0041764,23:05.4
-0.012026,0.00034277,-4.84E-05,0.0015877,0.0040717,23:05.4
-0.011958,0.00034233,-0.00017834,0.0014937,0.0040603,23:05.4
-0.011882,0.00029234,-0.00038044,0.0013824,0.0039975,23:05.4
-0.011611,0.00030484,-0.00058164,0.0012859,0.0039056,23:05.4
-0.011174,0.00035341,-0.00070869,0.001187,0.0037996,23:05.4
-0.010596,0.00040941,-0.00079787,0.0010715,0.0036535,23:05.4
-0.0099558,0.00050202,-0.00091946,0.00092592,0.0034942,23:05.4
-0.0094123,0.00059216,-0.001083,0.00082432,0.0033807,23:05.4
-0.0090277,0.00065778,-0.0012087,0.0007831,0.003306,23:05.4
-0.0088912,0.00065004,-0.0013207,0.00076389,0.0032565,23:05.4
-0.0088637,0.00067182,-0.0014296,0.0008114,0.003268,23:05.4
-0.0088554,0.00068995,-0.001546,0.00085089,0.0032713,23:05.4
-0.0087395,0.00071292,-0.0016595,0.00084942,0.0032575,23:05.4
-0.0083659,0.00089642,-0.0017618,0.00084069,0.0032694,23:05.4
-0.0079787,0.00094505,-0.0019622,0.00072266,0.0031674,23:05.4
-0.0076996,0.00072003,-0.0021553,0.00049592,0.0029327,23:05.4
-0.0074856,0.00050919,-0.002374,0.00027005,0.0027165,23:05.4
-0.0071498,0.00050454,-0.0027218,0.00012692,0.0025892,23:05.4
-0.0067047,0.00063554,-0.0029812,7.45E-05,0.0025425,23:05.4
-0.0064637,0.00076314,-0.0032,8.40E-05,0.0025635,23:05.4
-0.0063312,0.00094084,-0.0034035,0.00017195,0.0026424,23:05.4
-0.0063537,0.00094876,-0.003565,0.00022303,0.0026619,23:05.4
-0.0066005,0.00065358,-0.0038952,0.00016063,0.0025692,23:05.5
-0.006758,0.00037636,-0.0042486,4.54E-05,0.0024258,23:05.5
-0.0066217,0.00023567,-0.0043611,-0.00010355,0.0022603,23:05.5
-0.006148,0.00026126,-0.0042564,-0.00020194,0.0021344,23:05.5
-0.0055837,0.00039989,-0.0041221,-0.00024924,0.0020448,23:05.5
-0.0051462,0.00048665,-0.004011,-0.0003124,0.0019661,23:05.5
-0.004864,0.00054508,-0.0038308,-0.00033329,0.0019321,23:05.5
-0.0048002,0.00058056,-0.0037188,-0.00030538,0.0019328,23:05.5
-0.0048469,0.00057991,-0.0036917,-0.00025588,0.0019619,23:05.5
-0.0048698,0.00062583,-0.0035544,-0.00017762,0.0020167,23:05.5
-0.0047974,0.00074054,-0.0033466,-0.00011153,0.0020568,23:05.5
-0.0046008,0.00081571,-0.003201,-0.00010227,0.0020345,23:05.5
-0.0043819,0.00075068,-0.0031037,-0.00017255,0.0019342,23:05.5
-0.0041614,0.00057803,-0.0030225,-0.00032528,0.0017585,23:05.5
-0.0038886,0.00042681,-0.0029408,-0.00048375,0.0015606,23:05.5
-0.0036461,0.00039283,-0.0027471,-0.00056339,0.0014487,23:05.5
-0.0035106,0.00042835,-0.0024829,-0.00057615,0.0014247,23:05.5
-0.0034597,0.00046071,-0.0022633,-0.00055788,0.0014331,23:05.5
-0.0035135,0.00048561,-0.0020621,-0.00052075,0.0014684,23:05.5
-0.0036049,0.00050888,-0.0019173,-0.00047765,0.0015033,23:05.5
-0.0035728,0.0005348,-0.001791,-0.00045003,0.0015123,23:05.5
-0.0034341,0.00055071,-0.0016552,-0.00046641,0.0014861,23:05.5
-0.0031548,0.00055854,-0.0015572,-0.00054059,0.0013919,23:05.5
-0.0027249,0.00055817,-0.0014312,-0.00065754,0.0012455,23:05.5
-0.002405,0.00052334,-0.0013164,-0.00077908,0.0011033,23:05.5
-0.0021924,0.00048663,-0.001246,-0.00086667,0.0009856,23:05.5
-0.0020171,0.0004761,-0.0011723,-0.0008859,0.00092912,23:05.5
-0.0020161,0.00049325,-0.0011059,-0.00083757,0.00095582,23:05.5
-0.0020647,0.00057621,-0.0010094,-0.0007631,0.0010183,23:05.5
-0.0020511,0.00072248,-0.00086593,-0.00066132,0.0011135,23:05.5
-0.0019821,0.00087713,-0.0007314,-0.0005674,0.0011974,23:05.5
-0.0018423,0.00087593,-0.00069323,-0.00059484,0.0011299,23:05.5
-0.0016724,0.00069637,-0.00073772,-0.00071672,0.00094986,23:05.5
-0.0013463,0.00062802,-0.0007384,-0.0008338,0.00078329,23:05.5
-0.00093083,0.00061422,-0.00072163,-0.00096053,0.00061049,23:05.5
-0.00068135,0.0004724,-0.00074048,-0.0010622,0.00045983,23:05.5
-0.000574,0.00039481,-0.00074836,-0.001082,0.00039378,23:05.5
-0.00061994,0.00035168,-0.0007746,-0.0010745,0.00035981,23:05.5
-0.00072127,0.00031334,-0.00078837,-0.0010262,0.00037549,23:05.5
-0.00066754,0.00044671,-0.0007304,-0.00090335,0.00046324,23:05.5
-0.00057808,0.00056766,-0.00066406,-0.00082676,0.00048792,23:05.5
-0.00049804,0.0005042,-0.00060856,-0.00086061,0.00040918,23:05.5
-0.00035126,0.00035256,-0.00057828,-0.00093092,0.00027053,23:05.5
-9.52E-05,0.00026269,-0.00055187,-0.0010031,0.00010763,23:05.5
0.00030797,0.00029828,-0.00046379,-0.0010573,1.04E-05,23:05.5
0.00059282,0.00031029,-0.00040274,-0.0010742,-5.62E-05,23:05.5
0.00066044,0.00030294,-0.00038039,-0.0010525,-0.00010483,23:05.5
0.00069495,0.00038013,-0.0003217,-0.00095609,-5.58E-05,23:05.5
0.00060728,0.00044401,-0.00028218,-0.00081575,3.51E-05,23:05.5
0.00044712,0.00048094,-0.00027174,-0.00071581,9.51E-05,23:05.5
0.00040668,0.00048351,-0.00028247,-0.00066581,0.00010335,23:05.6
0.0004424,0.00041879,-0.00033285,-0.00067134,6.13E-05,23:05.6
0.0006292,0.00038132,-0.00037036,-0.00073978,-3.02E-05,23:05.6
0.00095931,0.00036641,-0.00036855,-0.00081839,-0.00015531,23:05.6
0.0012082,0.00034458,-0.00032855,-0.00088709,-0.00025852,23:05.6
0.0013801,0.00034538,-0.00027722,-0.00095085,-0.00033694,23:05.6
0.0014828,0.00034335,-0.00025702,-0.00095162,-0.00036053,23:05.6
0.0013912,0.00032616,-0.00023477,-0.00088415,-0.00032018,23:05.6
0.0012077,0.00032042,-0.00019844,-0.00081627,-0.00027516,23:05.6
0.0010967,0.00035461,-0.00016998,-0.00074636,-0.0002114,23:05.6
0.0010856,0.00043291,-0.0001347,-0.00068398,-0.00015643,23:05.6
0.0013008,0.00055313,-8.59E-05,-0.00067911,-0.0001576,23:05.6
0.0016695,0.00064367,-3.42E-05,-0.00072964,-0.00020496,23:05.6
0.0019003,0.00060321,-4.51E-05,-0.00085621,-0.00033651,23:05.6
0.0020403,0.00045157,-0.00013181,-0.0010334,-0.00051509,23:05.6
0.0021225,0.00026883,-0.00020386,-0.0011472,-0.00063712,23:05.6
0.002077,0.00017959,-0.00026737,-0.0011697,-0.00067697,23:05.6
0.0019891,0.00020522,-0.00033673,-0.0011364,-0.00063738,23:05.6
0.0018696,0.00025636,-0.00036445,-0.0010625,-0.00054936,23:05.6
0.0017187,0.00029196,-0.00037738,-0.00098476,-0.00047702,23:05.6
0.0015978,0.00026403,-0.00039775,-0.00095929,-0.00045404,23:05.6
0.0018195,0.0004025,-0.00037356,-0.00094029,-0.00042362,23:05.6
0.0025053,0.00084702,-0.00028883,-0.00087188,-0.0003663,23:05.6
0.0031103,0.0011496,-0.00022909,-0.00088206,-0.00039062,23:05.6
0.0032597,0.00099824,-0.0002774,-0.0010463,-0.0005302,23:05.6
0.0029628,0.00049581,-0.00045725,-0.0012626,-0.00074539,23:05.6
0.0024667,-4.63E-06,-0.00068728,-0.0013855,-0.00092737,23:05.6
0.0021582,-0.00019398,-0.0008493,-0.0013423,-0.00093811,23:05.6
0.0019947,-0.00017362,-0.00093915,-0.0012327,-0.00084923,23:05.6
0.0018727,-6.00E-05,-0.00095305,-0.0011252,-0.00075243,23:05.6
0.0019205,7.11E-05,-0.00096941,-0.0010421,-0.0006771,23:05.6
0.0020881,0.00016322,-0.0010477,-0.0010303,-0.00067678,23:05.6
0.0023698,0.00024796,-0.0010568,-0.0010628,-0.00072431,23:05.6
0.00281,0.00030223,-0.00099765,-0.001134,-0.00080741,23:05.6
0.0032862,0.00059003,-0.00086794,-0.0011381,-0.000821,23:05.6
0.003881,0.0011723,-0.00064082,-0.0009945,-0.00067412,23:05.6
0.0043546,0.0014712,-0.00051089,-0.00090374,-0.00059072,23:05.6
0.0039275,0.0010992,-0.00057546,-0.00097858,-0.00069079,23:05.6
0.0028383,0.00029915,-0.00071408,-0.0011486,-0.00085066,23:05.6
0.0020539,-0.00033254,-0.00075277,-0.0012909,-0.0009816,23:05.6
0.0017794,-0.00051391,-0.00062496,-0.0012985,-0.001021,23:05.6
0.0019518,-0.0004082,-0.00043933,-0.0012747,-0.0010093,23:05.6
0.0024138,-0.00021086,-0.00029,-0.0013232,-0.0010308,23:05.6
0.0028001,-7.33E-05,-0.0001473,-0.0013872,-0.0010807,23:05.6
0.0031419,1.51E-05,1.23E-05,-0.0014396,-0.0011432,23:05.6
0.0034338,8.85E-05,0.00013358,-0.0014751,-0.0011752,23:05.6
0.0034738,0.00011687,0.00024944,-0.0014532,-0.0011461,23:05.6
0.0033485,0.00014768,0.00039608,-0.0013908,-0.0010954,23:05.6
0.0031579,0.00016003,0.00050519,-0.0013197,-0.0010299,23:05.6
0.002946,0.00015063,0.00057247,-0.0012399,-0.0009545,23:05.6
0.0028481,0.00016056,0.00061316,-0.0011999,-0.00092807,23:05.7
0.0029288,0.00015435,0.00065006,-0.0012222,-0.00096257,23:05.7
0.003154,0.0001506,0.00070915,-0.0012901,-0.0010404,23:05.7
0.0034437,0.00016434,0.00075709,-0.0013933,-0.0011462,23:05.7
0.0037384,0.00017618,0.00077284,-0.0014658,-0.0012263,23:05.7
0.003937,0.00020644,0.0007208,-0.0014861,-0.0012604,23:05.7
0.0039333,0.00022809,0.00061502,-0.0014668,-0.0012545,23:05.7
0.0038212,0.00025321,0.00055189,-0.0013843,-0.0011856,23:05.7
0.0036473,0.0003016,0.00052251,-0.0012728,-0.0010779,23:05.7
0.0034028,0.00030351,0.00044992,-0.0011939,-0.0010121,23:05.7
0.0032499,0.00025377,0.00037674,-0.001172,-0.0010101,23:05.7
0.0032381,0.00016389,0.00033429,-0.001207,-0.0010523,23:05.7
0.0033679,7.58E-05,0.00026543,-0.0012982,-0.0011529,23:05.7
0.0036609,7.33E-05,0.00017743,-0.0014069,-0.001261,23:05.7
0.0039411,9.61E-05,7.98E-05,-0.0014772,-0.0013323,23:05.7
0.0040837,0.00010283,-2.03E-05,-0.001518,-0.0013906,23:05.7
0.0041138,0.00015953,-0.00012435,-0.0014783,-0.0013584,23:05.7
0.0040638,0.00030123,-0.00023151,-0.0013281,-0.0012225,23:05.7
0.003948,0.00044561,-0.00028931,-0.0011917,-0.0011105,23:05.7
0.0037358,0.00042328,-0.00040651,-0.0011136,-0.0010559,23:05.7
0.0034563,0.00023308,-0.00066915,-0.0010943,-0.0010705,23:05.7
0.0033146,1.64E-06,-0.00094997,-0.0011724,-0.0011832,23:05.7
0.0034783,-0.00012311,-0.0011624,-0.0012712,-0.0013199,23:05.7
0.0037714,-8.94E-05,-0.0013036,-0.0013318,-0.0014155,23:05.7
0.0040393,-4.18E-05,-0.0013818,-0.0013792,-0.0014885,23:05.7
0.0042833,-6.85E-06,-0.0014465,-0.0013877,-0.0015242,23:05.7
0.0042943,1.52E-05,-0.0015655,-0.0013355,-0.0014959,23:05.7
0.0042379,0.00015873,-0.0016974,-0.0012089,-0.0014001,23:05.7
0.0045003,0.00064063,-0.0017386,-0.00095,-0.001174,23:05.7
0.0047737,0.0011136,-0.0017165,-0.00065905,-0.00091875,23:05.7
0.0047356,0.0011862,-0.0018869,-0.00058344,-0.0009024,23:05.7
0.0043764,0.00073436,-0.0022998,-0.00075715,-0.0011306,23:05.7
0.0038569,-5.01E-05,-0.0025443,-0.0010266,-0.0014412,23:05.7
0.003718,-0.00048153,-0.0025694,-0.0012274,-0.0016868,23:05.7
0.0039941,-0.00046002,-0.0026466,-0.0012634,-0.001755,23:05.7
0.0041945,-0.00038762,-0.0027339,-0.0012198,-0.0017391,23:05.7
0.0042083,-0.0003054,-0.0027506,-0.0011515,-0.001707,23:05.7
0.0041271,-0.00019929,-0.0026675,-0.0010115,-0.0016011,23:05.7
0.0039833,-9.32E-05,-0.0025383,-0.00084662,-0.0014694,23:05.7
0.0038143,-2.39E-05,-0.0024496,-0.00072943,-0.0013844,23:05.7
0.0037583,1.60E-05,-0.0023316,-0.00066034,-0.0013401,23:05.7
0.0038949,8.16E-05,-0.002193,-0.000633,-0.001335,23:05.7
0.0041944,0.00016784,-0.0020614,-0.00065375,-0.00138,23:05.7
0.0046618,0.00035144,-0.0019106,-0.0006681,-0.0014196,23:05.7
0.0050112,0.00048498,-0.0018064,-0.00067193,-0.0014525,23:05.7
0.0050147,0.00038691,-0.001768,-0.00072123,-0.0015178,23:05.7
0.0048142,0.00022596,-0.0017814,-0.00074243,-0.0015603,23:05.7
0.0044134,4.14E-05,-0.0018462,-0.000712,-0.0015601,23:05.7
0.0039732,-0.00012723,-0.0018616,-0.00066737,-0.0015127,23:05.7
0.0037875,-0.000116,-0.0017733,-0.00058341,-0.0014221,23:05.7
0.0037488,-3.58E-05,-0.0016542,-0.00053863,-0.0013583,23:05.8
0.0038418,-9.15E-06,-0.0015607,-0.00056915,-0.0013774,23:05.8
0.0041421,2.11E-05,-0.0015001,-0.00065422,-0.0014568,23:05.8
0.0044105,5.40E-05,-0.0014564,-0.0007625,-0.0015314,23:05.8
0.0046056,8.00E-05,-0.00144,-0.00080376,-0.0016046,23:05.8
0.0048767,0.00022758,-0.0014145,-0.00085091,-0.0015908,23:05.8
0.0050482,0.00048728,-0.0013448,-0.0008208,-0.0014392,23:05.8
0.0048819,0.00058617,-0.0013284,-0.00062314,-0.0013378,23:05.8
0.0044702,0.00043816,-0.0013956,-0.00055394,-0.0013098,23:05.8
0.0040331,0.00020554,-0.001504,-0.00061766,-0.0012936,23:05.8
0.0037019,-2.05E-05,-0.0015981,-0.00066399,-0.0013535,23:05.8
0.0036686,-0.00014351,-0.0016169,-0.00075649,-0.0014255,23:05.8
0.0039585,-8.80E-05,-0.001578,-0.00084321,-0.0014776,23:05.8
0.004259,-4.50E-05,-0.0014649,-0.00092702,-0.001573,23:05.8
0.0044853,-6.36E-05,-0.0012968,-0.0010002,-0.001638,23:05.8
0.0046599,8.71E-06,-0.001144,-0.00099144,-0.0016302,23:05.8
0.0045743,2.52E-05,-0.0010108,-0.00096397,-0.0016079,23:05.8
0.0044273,0.00010112,-0.00085393,-0.00086211,-0.0015011,23:05.8
0.0045496,0.00050258,-0.00062919,-0.00063015,-0.0012665,23:05.8
0.0047424,0.00090519,-0.00040858,-0.00043019,-0.0010656,23:05.8
0.0048193,0.0010486,-0.00026486,-0.00035562,-0.00099491,23:05.8
0.0047517,0.00090398,-0.00020767,-0.00041306,-0.0010648,23:05.8
0.0045912,0.00049865,-0.00020784,-0.00062211,-0.0012815,23:05.8
0.004514,0.00011039,-0.00015351,-0.00086291,-0.0015101,23:05.8
0.0044652,-0.0001428,-5.30E-05,-0.0010047,-0.0016569,23:05.8
0.0043755,-0.00029261,3.84E-05,-0.0010769,-0.0017396,23:05.8
0.0042931,-0.00030548,0.0002034,-0.0010595,-0.0017117,23:05.8
0.0041231,-0.00023449,0.00041586,-0.00092938,-0.0015935,23:05.8
0.0038922,-0.00016022,0.00057457,-0.00080949,-0.0014816,23:05.8
0.0037687,-8.68E-05,0.00072854,-0.00072677,-0.0013864,23:05.8
0.0037514,-5.68E-06,0.00090222,-0.00065425,-0.0013284,23:05.8
0.0039082,7.01E-05,0.0010764,-0.00066189,-0.0013463,23:05.8
