ecg1,ecg2,ecg3,ecg4,ecg5,tstamp
-3.57E-05,1.15E-05,0.00016684,6.62E-05,-4.26E-05,21:15.7
3.95E-05,1.54E-05,0.00014543,4.18E-05,-6.45E-05,21:15.7
0.00012516,1.59E-05,0.00011756,1.18E-05,-9.20E-05,21:15.7
0.00020034,9.78E-06,9.58E-05,-1.35E-05,-0.00012,21:15.7
0.00024797,1.36E-05,8.25E-05,-2.47E-05,-0.00012594,21:15.7
0.00022841,1.83E-05,9.57E-05,-1.66E-05,-0.00011345,21:15.7
0.00016384,1.72E-05,0.00011856,4.53E-06,-0.00010208,21:15.7
9.92E-05,2.30E-05,0.00013691,2.94E-05,-7.63E-05,21:15.7
3.07E-05,3.05E-05,0.00016811,5.20E-05,-4.46E-05,21:15.7
-1.19E-06,3.82E-05,0.00018543,6.19E-05,-4.02E-05,21:15.7
2.90E-05,3.82E-05,0.00017994,5.32E-05,-4.63E-05,21:15.7
7.80E-05,3.09E-05,0.00016673,3.15E-05,-6.08E-05,21:15.7
0.00015458,3.51E-05,0.00013473,1.67E-06,-9.35E-05,21:15.7
0.00024141,3.84E-05,0.00011529,-2.30E-05,-0.00011492,21:15.7
0.00027791,4.25E-05,0.00011695,-3.29E-05,-0.0001236,21:15.7
0.00026757,4.63E-05,0.00011625,-3.29E-05,-0.00012247,21:15.7
0.00021625,4.12E-05,0.0001368,-1.51E-05,-9.76E-05,21:15.7
0.00013414,4.55E-05,0.00016741,1.48E-05,-6.99E-05,21:15.7
6.53E-05,4.68E-05,0.00018507,3.66E-05,-5.42E-05,21:15.7
3.34E-05,4.14E-05,0.00019971,4.61E-05,-4.26E-05,21:15.7
4.73E-05,4.17E-05,0.0001978,3.54E-05,-4.71E-05,21:15.7
0.00011674,4.37E-05,0.00017677,8.64E-06,-7.31E-05,21:15.7
0.00021581,5.15E-05,0.00015261,-1.70E-05,-9.58E-05,21:15.7
0.00029275,5.19E-05,0.0001315,-4.01E-05,-0.00011461,21:15.7
